,App,Category,CategoryNum,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Content RatingNum,Genre_1,Genre_2,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,1,4,159,19000000,10000,1,0,Everyone,1,Art & Design,nan,01/07/2018,1.0.0,4.0.3
1,Coloring book moana,ART_AND_DESIGN,1,3,967,14000000,500000,1,0,Everyone,1,Art & Design,Pretend Play,15/01/2018,2.0.0,4.0.3
2,"U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,1,4,87510,8700000,5000000,1,0,Everyone,1,Art & Design,nan,08/01/2018,1.2.4,4.0.3
3,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,1,4,967,2800000,100000,1,0,Everyone,1,Art & Design,Creativity,20/06/2018,1.1,4.4
4,Paper flowers instructions,ART_AND_DESIGN,1,4,167,5600000,50000,1,0,Everyone,1,Art & Design,nan,26/03/2017,1,2.3
5,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,1,3,178,19000000,50000,1,0,Everyone,1,Art & Design,nan,26/04/2018,1.1,4.0.3
6,Infinite Painter,ART_AND_DESIGN,1,4,36815,29000000,1000000,1,0,Everyone,1,Art & Design,nan,14/06/2018,6.1.61.1,4.2
7,Garden Coloring Book,ART_AND_DESIGN,1,4,13791,33000000,1000000,1,0,Everyone,1,Art & Design,nan,20/09/2017,2.9.2,3
8,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,1,4,121,3100000,10000,1,0,Everyone,1,Art & Design,Creativity,07/03/2018,2.8,4.0.3
9,Text on Photo - Fonteee,ART_AND_DESIGN,1,4,13880,28000000,1000000,1,0,Everyone,1,Art & Design,nan,27/10/2017,1.0.4,4.1
10,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,1,4,8788,12000000,1000000,1,0,Everyone,1,Art & Design,nan,31/07/2018,1.0.15,4
11,Tattoo Name On My Photo Editor,ART_AND_DESIGN,1,4,44829,20000000,10000000,1,0,Teen,2,Art & Design,nan,04/02/2018,3.8,4.1
12,Mandala Coloring Book,ART_AND_DESIGN,1,4,4326,21000000,100000,1,0,Everyone,1,Art & Design,nan,26/06/2018,1.0.4,4.4
13,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,1,4,1518,37000000,100000,1,0,Everyone,1,Art & Design,nan,08/03/2018,1.2.3,2.3
